paymentID,orderID,creditCardNumber,useCash,useCreditCard,useRewardPoints
1,1,5048378651250720,TRUE,FALSE,FALSE
2,2,5048378651250730,FALSE,FALSE,TRUE
3,3,5048378651250740,FALSE,TRUE,FALSE
4,4,5048378651250750,FALSE,FALSE,TRUE
5,5,5048378651250760,FALSE,TRUE,FALSE
6,6,5048378651250770,FALSE,FALSE,TRUE
7,7,5048378651250780,TRUE,FALSE,FALSE
8,8,5048378651250790,FALSE,TRUE,FALSE
9,9,5048378651250800,FALSE,TRUE,FALSE
10,10,5048378651250810,TRUE,FALSE,FALSE
11,11,5048378651250820,FALSE,TRUE,FALSE
12,12,5048378651250830,FALSE,FALSE,TRUE
13,13,5048378651250840,FALSE,TRUE,FALSE
14,14,5048378651250850,FALSE,FALSE,TRUE
15,15,5048378651250860,FALSE,TRUE,FALSE
16,16,5048378651250870,FALSE,TRUE,FALSE
17,17,5048378651250880,FALSE,FALSE,TRUE
18,18,5048378651250890,FALSE,FALSE,TRUE
19,19,5048378651250900,FALSE,FALSE,TRUE
20,20,5048378651250910,FALSE,FALSE,TRUE
21,21,5048378651250920,FALSE,FALSE,TRUE
22,22,5048378651250930,FALSE,FALSE,TRUE
23,23,5048378651250940,TRUE,FALSE,FALSE
24,24,5048378651250950,FALSE,FALSE,TRUE
25,25,5048378651250960,FALSE,TRUE,FALSE
26,26,5048378651250970,FALSE,TRUE,FALSE
27,27,5048378651250980,TRUE,FALSE,FALSE
28,28,5048378651250990,TRUE,FALSE,FALSE
29,29,5048378651251000,TRUE,FALSE,FALSE
30,30,5048378651251010,FALSE,FALSE,TRUE
31,31,5048378651251020,FALSE,TRUE,FALSE
32,32,5048378651251030,FALSE,FALSE,TRUE
33,33,5048378651251040,FALSE,FALSE,TRUE
34,34,5048378651251050,FALSE,TRUE,FALSE
35,35,5048378651251060,FALSE,TRUE,FALSE
36,36,5048378651251070,TRUE,FALSE,FALSE
37,37,5048378651251080,FALSE,TRUE,FALSE
38,38,5048378651251090,FALSE,FALSE,TRUE
39,39,5048378651251100,FALSE,FALSE,TRUE
40,40,5048378651251110,FALSE,FALSE,TRUE
41,41,5048378651251120,FALSE,TRUE,FALSE
42,42,5048378651251130,FALSE,FALSE,TRUE
43,43,5048378651251140,FALSE,TRUE,FALSE
44,44,5048378651251150,FALSE,FALSE,TRUE
