customerID,creditCardNumber
1,5048378651250720
2,3578311837983180
3,201447607001112
4,5602225339754250
5,3583212519841520
6,372301654110867
7,6384699661588460
8,63040366624233200
9,5486901131460130
10,5893495933139300000
11,3530536230688560
12,6393643122054880
13,3544070717442660
14,633362176454655000
15,3562011785547090
16,4508942639279820
17,3586419820745540
18,5432435350593540
19,5010126369516950
20,3583968555628150
21,4905518059999470000
22,6391971773016190
23,676156406735210000
24,4041593042732
25,201783963400120
26,630477268180383000
27,4917764476358590
28,3579375737319950
29,5602255664023060
30,675949510267537000
31,3582577820893450
32,3583877938294930
33,5100140255186140
34,374283527925903
35,30140672541099
36,3564900422084080
37,5602248765165640
38,3578159853541200
39,3570262117536940
40,4913385146780440
41,201769442343890
42,670988911008661000
43,3571237785444090
44,5018630220937880000
45,3546242758442450
46,4041376721718
47,5108757734347080
48,4405099126054970
49,5602228287126660
50,3539048613298270
51,3539784553145940
52,6304919874658000000
53,3557941550317260
54,4175005155387700
55,6334680022886260
56,5002351011245510
57,3541077350932350
58,3538945077703430
59,3554629018947050
60,201961900823196
61,5487995819977710
62,676333895651205000
63,3548030696637180
64,5602246237299300
65,3552789467894430
66,3528428907933000
67,3549554692271920
68,676185327787652000
69,60499923852041400
70,633467719562220000
71,5641827824519340000
72,3548441646821590
73,491177359947898000
74,3536579397288540
75,4041591038535670
76,30087438792419
77,3579866518170350
78,30424952917041
79,3580257294906050
80,3580628287965930
81,6334011584963530
82,371682266713391
83,6759816339435370000
84,3571640467861870
85,5602216697319070
86,5100141363224380
87,30110713886704
88,4041591027961700
89,3586275669430840
90,3554420455022080
91,6046938721456300
92,4041374415780580
93,3530193398728770
94,6331108429889000
95,6334093896250280000
96,564182954736031000
97,3537163632724830
98,201484649576017
99,3570628184000680
100,3536333657168620
101,6333350396545330
102,5602225603008170
103,3581746259898180
104,6331106914727120
105,374622623316584
106,3535202398677570
107,3547228352796760
108,3580259847620990
109,633110428151377000
110,3579531281689510
111,4017950777805
112,3533953187582830
113,3589413493354940
114,3545782606959410
115,561073519137774000
116,349650181734544
117,3564821376601190
118,5568846981376680
119,4017952941961
120,3528219447005330
121,3549596029169780
122,4085558885691490
123,3583881100365460
124,201532178118674
125,3553891200326760
126,3547276456991660
127,6331109690337430000
128,4041593499287140
129,5007663291265470
130,3575269079543650
131,5641826764759650000
132,5602212434663170
133,3585320213980380
134,201443299175702
135,3587937555592950
136,3531331846072390
137,3579999867032160
138,3581675145205070
139,3574461527548590
140,6331109806555180000
141,3544863579581650
142,4913875799330630
143,36805623371614
144,201465466320670
145,3562546552477790
146,3540364548381970
147,3545292742471570
148,6763619764451470
149,3537968042704250
150,3578421130143560
1,3565537533654940
2,5602239213874970000
3,30279090773619
4,201910589265583
5,675942638074171000
6,3529441817765420
7,201866696807537
8,3567658480349510
9,5465511926406800
10,3572202499307120
11,4936695433216660000
12,5010122758047960
13,4661964962207430
14,30483256704562
15,3538515528464690
16,6767285944874200
17,502092150828821000
18,4913975793535770
19,201891856791305
20,3564057817200660
21,4844686369901290
22,201579315388637
23,3588837932876420
24,3564655676975480
25,3563230440326820
26,5602239845639420
27,5020974808451570000
28,3572565312617990
29,5100172849965520
30,3568007751184610
31,3581365872281010
32,60474715454143700
33,4026866341067080
34,374288984789585
35,3572923944006720
36,4041376480448
37,6763591778091120
38,6771146937420110
39,201623847545304
40,36676885179445
41,3587150886677290
42,5602253992190470
43,3565286122652900
44,5421212785461940
45,6763568124302690000
46,3537472695697980
47,6378529972713710
48,3537434996836870
49,4936054904851840
50,3556100032706390
51,30395490366505
52,3548805653775330
53,5010123038391960
54,5641824587052810
55,490377438493771000
56,3542070057754770
57,5007667182171570
58,3560313980103000
59,5002357590433000
60,3579139841442060
61,6771230761491030
62,6771850782805660
63,3574123918638220
64,5602227674585480
65,3536074913555430
66,3578747067339020
67,5160787148114290
68,5100133777728150
69,3577723506995100
70,372301960165936
71,3582894474257450
72,201995582158430
73,3579086657070530
74,3536955423376040
75,5108751184116710
76,3588977576914440
77,5602212988425720
78,3588909073093730
79,3534296825343990
80,5010124144172990
81,6333944269926630
82,3555830387638530
83,5602239251856990
84,3559451316756190
85,3540020858936980
86,3552718348719150
87,3563289065247850
88,4041375939742550
89,5602220965859860000
90,6759648963635100
91,3551983419729730
92,3562607048275650
93,3537594847684000
94,3574202683362220
95,3528447266727090
96,3555641556706220
97,3543928186982390
98,3584876838141170
99,372301344372315
100,5466197070170060
101,5100143755034750
102,677191814607794000
103,67617744651481800
104,3530398658543510
105,3565966938671450
106,3551770822184630
107,3561137083280530
108,6334109928764990000
109,5641823635377690000
110,5563653020778410
111,4856276464344840
112,5602231058935250
113,4903054673677360
114,3551508361497090
115,6398624777125800
116,3582925059722970
117,3584705121540470
118,349493144464184
119,3546298689495070
120,201424048336613
121,6378530592525220
122,3569296936171630
123,3532650352337850
124,4405710899858400
125,560221542780266000
126,201796888951050
127,30343784653121
128,676216569619165000
129,5268695477584960
130,3571424685162560
131,3541123700128980
132,30291053720529
133,343712840025379
134,4911255719336850000
135,30466983665016
136,6333270249199590
137,3547125016639130
138,4175007924856590
139,3554432080194260
140,4026150759325030
141,3543645170852130
142,67599751834606400
143,67628109707016100
144,676360597506244000
145,6385423143143140
146,4405444715169290
147,4026095126051190
148,5602231384542540
149,670675837089229000
150,201578398823346
